ID	parentID	nameID	provisional	accordingToID	accordingToDate	referenceID	extinct	temporalRangeStart	temporalRangeEnd	lifezone	link	remarks
377	b6f9f068-14049-0ec30-77638-09e6630ed	377	0		2019	69	0			Terrestrial		
80eae935-1372d-ed78b-e2c34-41fa94d85	82bd691e-e0f7b-09b8e-fe86f-f6c86369e	80eae935-1372d-ed78b-e2c34-41fa94d85	false									
1200	969ebf85-704d6-fe27a-78990-064e36cb9	1200	0		2019		0			Terrestrial		
4b066f9e-abc04-d7836-1b8d7-d5f58598f	9245696b-0ec1c-a419b-aecc2-0802ac59e	4b066f9e-abc04-d7836-1b8d7-d5f58598f	false									
412	227	412	0		2019	6	0			Terrestrial		
5	ca30a689-c8c10-832c6-154d9-dfccc60b1	5	0		2019	13	0			Terrestrial		
636	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	636	0		2019	103	0			Terrestrial		
795	dde8e430-7487f-26e91-6d1eb-f1d324140	795	0		2019	109	0			Terrestrial		
1039	80eae935-1372d-ed78b-e2c34-41fa94d85	1039	0		2019	130	0			Terrestrial		
394	129	394	0		2019	55	0			Terrestrial		
739	7ce99f06-635dd-3d710-7864b-db47fb37d	739	0		2019	6	0			Terrestrial		
1051	16c4b02f-2e34e-99a80-522d6-bc6527ca3	1051	0		2019	30	0			Terrestrial		
431	368	431	0		2019	69	0			Terrestrial		
24	d5cc6683-cdf62-83703-166e9-e90e24e7b	24	0		2019	6	0			Terrestrial		
235	f35a7655-4306b-31394-b89cc-8feaef976	235	0		2019	6	0			Terrestrial		
624	3bdae232-08c3a-2e508-13548-fb2433ff5	624	0		2019	10	0			Terrestrial		
c4db8882-42273-61617-57fc9-b6d0d6a5e	4e1c6780-ee556-78401-d9679-8b1ba0fd5	c4db8882-42273-61617-57fc9-b6d0d6a5e	false									
736	7ce99f06-635dd-3d710-7864b-db47fb37d	736	0		2019	10	0			Terrestrial		
253	f35a7655-4306b-31394-b89cc-8feaef976	253	0		2019	6	0			Terrestrial		
283	f35a7655-4306b-31394-b89cc-8feaef976	283	0		2019	7	0			Terrestrial		
1285	7006f9e3-2aa4e-3c91d-de563-7c57151bf	1285	0		2019	112	0			Terrestrial		
03819042-9758b-09f31-e6cd2-a115edf47	9245696b-0ec1c-a419b-aecc2-0802ac59e	03819042-9758b-09f31-e6cd2-a115edf47	false									
184	f35a7655-4306b-31394-b89cc-8feaef976	184	0		2019	20	0			Terrestrial		
