ID	ReferenceType	ReferenceID
875	TaxAccRef	19
876	TaxAccRef	19
877	TaxAccRef	19
878	TaxAccRef	19
879	TaxAccRef	19
880	TaxAccRef	19
881	TaxAccRef	19
882	TaxAccRef	10
883	TaxAccRef	19
884	TaxAccRef	10
885	TaxAccRef	19
886	TaxAccRef	19
887	TaxAccRef	19
888	TaxAccRef	19
889	TaxAccRef	19
890	TaxAccRef	19
891	TaxAccRef	19
892	TaxAccRef	19
893	TaxAccRef	19
894	TaxAccRef	19
895	TaxAccRef	19
896	TaxAccRef	19
897	TaxAccRef	19
898	TaxAccRef	19
899	TaxAccRef	19
900	TaxAccRef	7
901	TaxAccRef	7
902	TaxAccRef	19
903	TaxAccRef	19
904	TaxAccRef	19
905	TaxAccRef	19
906	TaxAccRef	19
907	TaxAccRef	19
908	TaxAccRef	19
909	TaxAccRef	19
910	TaxAccRef	19
911	TaxAccRef	19
912	TaxAccRef	19
913	TaxAccRef	19
914	TaxAccRef	19
915	TaxAccRef	19
916	TaxAccRef	19
917	TaxAccRef	19
918	TaxAccRef	19
919	TaxAccRef	19
920	TaxAccRef	19
921	TaxAccRef	19
922	TaxAccRef	19
923	TaxAccRef	19
924	TaxAccRef	19
925	TaxAccRef	24
926	TaxAccRef	19
927	TaxAccRef	19
928	TaxAccRef	10
929	TaxAccRef	10
930	TaxAccRef	19
931	TaxAccRef	19
932	TaxAccRef	19
933	TaxAccRef	19
934	TaxAccRef	19
935	TaxAccRef	19
936	TaxAccRef	19
937	TaxAccRef	19
938	TaxAccRef	19
939	TaxAccRef	19
940	TaxAccRef	19
941	TaxAccRef	19
942	TaxAccRef	19
943	TaxAccRef	19
944	TaxAccRef	19
945	TaxAccRef	19
946	TaxAccRef	24
947	TaxAccRef	19
948	TaxAccRef	10
949	TaxAccRef	19
950	TaxAccRef	19
951	TaxAccRef	19
952	TaxAccRef	19
953	TaxAccRef	19
954	TaxAccRef	10
955	TaxAccRef	19
956	TaxAccRef	19
957	TaxAccRef	19
958	TaxAccRef	19
959	TaxAccRef	19
960	TaxAccRef	19
961	TaxAccRef	19
962	TaxAccRef	19
963	TaxAccRef	19
964	TaxAccRef	19
965	TaxAccRef	19
966	TaxAccRef	19
967	TaxAccRef	32
968	TaxAccRef	10
969	TaxAccRef	19
970	TaxAccRef	19
971	TaxAccRef	19
972	TaxAccRef	19
973	TaxAccRef	19
974	TaxAccRef	19
975	TaxAccRef	19
976	TaxAccRef	19
977	TaxAccRef	19
978	TaxAccRef	19
979	TaxAccRef	19
980	TaxAccRef	16
981	TaxAccRef	19
982	TaxAccRef	19
983	TaxAccRef	19
984	TaxAccRef	109
985	TaxAccRef	19
986	TaxAccRef	19
987	TaxAccRef	9
988	TaxAccRef	109
989	TaxAccRef	19
990	NomRef	23
991	NomRef	114
992	NomRef	115
993	NomRef	116
994	NomRef	74
995	NomRef	20
996	NomRef	115
997	NomRef	117
998	NomRef	117
999	NomRef	82
1000	NomRef	118
1001	NomRef	37
1002	NomRef	118
1003	NomRef	118
1004	NomRef	119
1005	NomRef	118
1006	NomRef	120
1007	NomRef	121
1008	NomRef	82
1009	NomRef	17
1010	NomRef	122
1011	NomRef	17
1012	NomRef	58
1013	NomRef	123
1014	NomRef	87
1015	NomRef	67
1016	NomRef	124
1017	NomRef	125
1018	NomRef	80
1019	NomRef	42
1020	NomRef	126
1021	NomRef	127
1022	NomRef	128
1023	NomRef	120
1024	NomRef	129
1025	NomRef	130
1026	NomRef	131
1027	NomRef	132
1028	NomRef	133
1029	NomRef	134
1030	NomRef	58
1031	NomRef	135
1032	NomRef	129
1033	NomRef	131
1034	NomRef	136
1035	NomRef	42
1036	NomRef	48
1037	NomRef	137
1038	NomRef	138
1039	NomRef	130
1040	NomRef	138
1041	NomRef	17
1042	NomRef	133
1043	NomRef	123
1044	NomRef	17
1045	NomRef	80
1046	NomRef	139
1047	NomRef	121
1048	NomRef	140
1049	NomRef	121
1050	NomRef	141
1051	NomRef	30
1052	NomRef	83
1053	NomRef	37
1054	NomRef	42
1055	NomRef	84
1056	NomRef	54
1057	NomRef	142
1058	NomRef	43
1059	NomRef	138
1060	NomRef	143
1061	NomRef	144
1062	NomRef	145
1063	NomRef	143
1064	NomRef	87
1065	NomRef	146
1066	NomRef	84
1067	NomRef	39
1068	NomRef	37
1069	NomRef	131
1070	NomRef	48
1071	NomRef	37
1072	NomRef	65
1073	NomRef	48
1074	NomRef	39
1075	NomRef	138
1076	NomRef	147
1077	NomRef	48
1078	NomRef	40
1079	NomRef	138
1080	NomRef	23
1081	NomRef	65
1082	NomRef	131
